Name,Category,Well_Known_Movie,Bio
Thikkurisi Sukumaran Nair,Actor,Sheriyo Thetto,"Thikkurisi Sukumaran Nair was born in 1917 in Thikkurisi, Kerala, India as Sukumaran Nair"
Garard Green,Actor,The Trollenberg Terror,"Garard Green was born on July 31, 1924 in Madras, India"
Telangana Sakuntala,Actress,Maska,"Telangana Sakuntala was born on June 9, 1951 in Maharashtra, India"
Gita Sen,Actress,Akaler Sandhane,"Gita Sen was born on October 30, 1930 in British india"
Tirlok Malik,Actor,On Golden Years,An Actor and Film Producer Tirlok Malik (CEO of Apple Productions and founder of nritvfilmclub) is a New York Emmy Award nominated filmmaker
Murray Hayne,Actor,The Avengers,Murray Hayne was born in 1931 in India
Prashant Barot,Actor,Once Upon a Time in Mumbaai,"Prashant Barot was born on June 5, 1968 in Gujarat, India"
Bala Singh,Actor,Ambuli,"Bala Singh was born on May 7, 1952 in Kaliyakkavilai, Kanyakumari District, India"
Aahuthi Prasad,Actor,Anaganaga Oka Roju,"Aahuthi Prasad was born on January 2, 1958 in Koduru, Krishna District, Andhra Pradesh, India as Adusumilli Janardhan Vara Prasad"
Monu Mukherjee,Actor,Fuleswari,"Monu Mukherjee was born on March 1, 1930 in British India"
Kaifi Azmi,Music Department,Garm Hava,"Kaifi Azmi was born on January 14, 1919 in Mizwaan, United Provinces, British India as Akhtar Husain Rizvi"
May Routh,Costume Designer,Reindeer Games,May Routh was born in India
Nishita Goswami,Actress,Kadambari,"Nishita Goswami is a famous Assamese actress who was born in Guwahati, Assam"
P.L. Santoshi,Director,Barsaat Ki Raat,Father of Bollywood Movies Director Rajkumar Santoshi
Shomu Mukherjee,Writer,Pathar Ke Insan,Father of Kajol and Tanishaa Mukerji
Tripti Shakya,Music Department,Saajan Chale Sasural,Tripti Shakya (born 5 August 1976) is an Indian playback singer who is best known for her work in Bhojpuri and Hindi films industries
Shani Grewal,Director,Double X: The Name of the Game,"Shani Grewal was born in 1958 in Punjab, India"
M.S. Viswanathan,Music Department,Vishwa Thulasi,M
Prashant Prabhakar,Actor,Toxic Lullaby,"Prashant Prabhakar was born on October 13, 1974 in India"
Mumtaz Shanti,Actress,Basant,"Mumtaz Shanti was born in 1926 in Punjab, India"
Joan Bell,Self,What Do You Say to a Naked Lady?,"Joan Bell was born on February 1, 1935 in Bombay, India"
Shanta Apte,Actress,Duniya Na Mane,"Shanta Apte was born in 1916 in Dudhni, Bombay Presidency, British India"
Prateek Shah,Director,Sadda Haq,
Shahu Modak,Actor,Manoos,"Shahu Modak was born in 1918 in Ahmednagar, Bombay Presidency, British India"
Paravoor Bharathan,Actor,Sasneham,"Paravoor Bharathan was born in 1928 in Vavakkad, Cochin, British India"
H.M. Reddy,Director,Bhakta Prahlada,
Sardar Akhtar,Actress,Hulchul,"Sardar Akhtar was born in 1915 in Lahore, India"
Sriranjani,Actress,Shri Krishna Tulabharam,"Sriranjani was born on February 22, 1927 in Narasaraopeta, Andhra Pradesh, India as Mahalakshmi"
Ali Akbar Khan,Soundtrack,The Darjeeling Limited,"Ali Akbar Khan was born on April 14, 1922 in Shibpur, Comilla, Bengal Presidency, British India"
Chitra Sen,Actress,Bhoy,"Chitra Sen was born on May 5, 1934 in Calcutta, Bengal Presidency, British India as Chitra Mandal"
Abdul Rashid Kardar,Director,Dulari,"Abdul Rashid Kardar was born on October 2, 1904 in Lahore, Punjab, British India"
T.S. Nagabharana,Director,Allama,T
Santosh Dutta,Actor,Teen Kanya,"Santosh Dutta was born on December 2, 1925 in Calcutta, Bengal Presidency, British India"
David Fennell,Actor,Adolf Hitler: My Part in His Downfall,"He was educated at Greenway School in Wiltshire and Allhallows in Rousden, Devon where he joined the school drama society"
Indrasish Roy,Actor,The Waterfall,"Indrasish Roy was born on November 15, 1986 in Calcutta, West Bengal, India"
Dwarka Divecha,Cinematographer,Sholay,"Dwarka Divecha was born on March 19, 1918 in Bombay, India"
Charu Roy,Director,Bigraha,"Charu Roy was born on September 6, 1890 in Berhampore, Bengal Presidency, British India"
Ashraf Ul Haq,Actor,Talaash,"Ashraf Ul Haq was born on November 3, 1969 in Assam, India"
Imran Hasnee,Actor,Paan Singh Tomar,Imran Hasnee is an Indian actor (born 1st December 1972) and has acted in many Indian and Hollywood movies movies
Vasant Desai,Composer,Sampoorna Ramayana,"Vasant Desai was born on June 9, 1912 in Kudal, Maharashtra, India"
Shanta Hublikar,Actress,Mazha Mulga,"Shanta Hublikar was born in 1914 in Hubli, Karnataka, India"
Dilip Roy,Director,Amrita Kumbher Sandhaney,"Dilip Roy was born on December 17, 1931 in Chittagong, Bengal Presidency, British India"
Nisheeta Keni,Writer,The Butterfly,"Nisheeta Keni is the writer, director and producer of the Marathi feature film 'Bogda' released in September 2018"
Dilip Shankar,Casting Director,I Origins,"In cinema, Dilip is known for introducing new exceptional talent as a Casting Director"
Aspi Irani,Director,Badal,Son in law name is Imannuel Babu
Mirya Kalmuth,Actress,Und Äktschn!,"Mirya Kalmuth was born on July 29, 1981 in Bangalore, India"
Nirmal Dey,Director,Sharey Chuattar,
Kenneth Kendall,Actor,They Came from Beyond Space,"Kenneth Kendall was born on August 7, 1924 in British India"
Tapan Chatterjee,Actor,Goopy Gyne Bagha Byne,"Tapan Chatterjee was born on September 3, 1937 in Calcutta, Bengal Presidency, British India"
Norman Trevor,Actor,Beau Geste,"Norman Trevor was born on June 23, 1877 in Calcutta, Bengal Presidency, British India as Norman Gilbert Pritchard"
Amit Shekhar,Producer,I Shouldn't Be Alive,Amit Shekhar is a writer/ Producer known for his works predominantly in
Dinen Gupta,Director,Antaranga,Father of Sonali Gupta
Khan Ataur Rahman,Composer,Ekhono Onek Raat,"Khan Ataur Rahman was born on December 11, 1928 in Ramkantapur, Manikganj, British India"
Namita Sinha,Actress,Sagarika,"Namita Sinha was born on June 22, 1931 in Madras, India"
Kuljeet Randhawa,Actress,Ssshhhh... Koi Hai,"Kuljeet Randhawa was born on January 1, 1976 in Ranigangh in West Bengal"
Terry Diab,Actress,The Holiday,"Terry Diab was born on February 11, 1955 in Mumbai, India as Elizabeth Therese Diab"
Munshi Venu,Actor,Red Rain,"Munshi Venu was born in 1954 in Vazhuthakkad, Thiruvanathpuram, India as Venu Narayanan"
Abdul Quadir Amin,Assistant Director,Talaash,"Abdul Quadir Amin was born February 7, 1983 in Raipur, Chhattisgarh, India"
Rajiv Gandhi,Self,India's Rajiv,Rajiv Gandhi was an Indian politician who served as the 6th Prime Minister of India from 1984 to 1989
Alexander Archdale,Actor,The Killing of Angel Street,"Alexander Archdale was born on November 26, 1905 in Jhansi, Uttar Pradesh, British India as Alexander Mervyn Archdale"
Kamal Mitra,Actor,Parineeta,"Kamal Mitra was born on December 9, 1912 in Burdwan, Bengal Presidency, British India"
Nimu Bhowmick,Actor,Aparajita,"Nimu Bhowmick was born on November 14, 1935 in Dinajpur, Bengal Presidency, British India"
Sharad Patel,Producer,Bachelor Party,Father of producer Uru Patel
Kanta Rao,Actor,Narthanasala,"Kanta Rao was born on November 16, 1923 in Kodada, Andhra Pradesh, India as Thadepalli Lakshmi Kantha Rao"
Swami Vivekananda,Music Department,Subhas Chandra,Swami Vivekananda was a great social reformer and a very inspiring personality of India
Atluri Pundarikakshaiah,Producer,Mahamantri Timmarasu,"Atluri Pundarikakshaiah was born on August 19, 1925 in Choutuppal, Krishna Distirct, Andhra Pradesh, India"
Sukanya Krishnan,Actress,The Sopranos,"Sukanya Krishnan was born in 1971 in Madras, India"
Irshad Panjatan,Actor,Der Schuh des Manitu,"Irshad Panjatan was born on September 7, 1931 in Hyderabad, India"
K. Shankar,Director,Adimai Penn,"He directed over 80 films in the Sinhalese, Tamil, Hindi, Malayalam, Telugu and Kannada languages"
Punarvasu Naik,Assistant Director,Dangal,"Punarvasu Naik was born on April 6, 1980 in Indore, Madhya Pradesh, India"
Prem Dhawan,Soundtrack,Adhi Raat Ke Baad,"Prem Dhawan was born on June 13, 1923 in Ambala, Punjab, British India"
Peter Sarstedt,Soundtrack,The Darjeeling Limited,"Peter Sarstedt was born on December 12, 1941 in New Delhi, British India as Peter Eardley Sarstedt"
Vijaya Nirmala,Actress,Kurukshetramu,"Vijaya Nirmala was born on February 20, 1944 in Tamilnadu, British India"
K.S. Prakash Rao,Director,Prem Nagar,K
Karim Hajee,Actor,Drishyam,"Karim Hajee was born on July 6, 1968 in Mumbai, India"
Pallikonda Adrushta Deepak,Music Department,Slumdog Millionaire,"Mumbai-India,Producing and Mixing 2 scores"
Guneet Dogra,Producer,Darkness Visible,
Kaushiki Chakraborty,Music Department,Mirzya,"Kaushiki Chakraborty was born on October 24, 1980 in Calcutta, West Bengal, India"
Rajendra Krishan,Music Department,Khandan,2 sons named Rajiv and Rajesh Duggal
Rallapalli,Actor,Athadu,"Rallapalli was born on August 15, 1945 in Anantapur, Andhra Pradesh, British India as Rallapalli Venkata Narasimha Rao"
William Derrick,Actor,Octopussy,"William Derrick was born on January 16, 1946 in Bombay, India"
Hara Patnaik,Actor,Daiba Daudi,"Hara Patnaik was born on October 12, 1958 in Cuttack, Odisha, India"
Shorya Veer Saagar,Producer,Aadhaar,"Shorya Veer Saagar , founder of Shoryagate is a Shimla (Himachal Pradesh, India) Born Artist"
Udaya Kumar,Actor,Sandhya Raga,"Udaya Kumar was born on March 5, 1933 in Palakkodu, Salem, Tamilnadu, India as Suryanarayana Murthy"
Yazmene Milan,Actress,Finding Tushyland,"Yazmene Milan was born on April 6, 1981 in India as Davina Khazraishokatkhou"
Ram Singh,Actor,Apradhi,"Ram Singh was born on September 22, 1881 in India as Bhogwan Singh"
Raja,Actor,Anand,"Raja was born on November 9, 1978 in Vizag, Andhra Pradesh, India"
Harbhajan Singh,Actor,Dikkiloona,"Harbhajan Singh was born on June 3, 1980 in Jullundur, Punjab, India"
Mona Sharma,Actress,Switch: Reloaded,"Mona Sharma was born on January 29, 1973 in New Delhi, India as Simone Erica Sharma"
Jyoti Sarup,Director,Bub (Father),"Jyoti Sarup was born on August 20, 1954 in New Delhi, India"
Raavi Kondala Rao,Writer,Bhairava Dweepam,"Raavi Kondala Rao was born in 1931 in Srikakulam, Andhra Pradesh, India"
Aakriti Dobhal,Actress,Kapoor & Sons,"Aakriti Dobhal was born on September 1, 1990 in Mumbai, Maharashtra, India"
Angelo Gnazzo,Actor,Police Story,"Angelo Gnazzo was born on August 1, 1939 in Bombay, India"
Mohammad Shamsi,Actor,The Man Who Would Be King,"Mohammad Shamsi was born on December 20, 1929 in Muradabad, Uttar Pradesh, British India"
Narra Venkateswara Rao,Actor,Varsham,"Narra Venkateswara Rao was born in 1947 in Agraharam, Tamil Nadu, India"
Sam Ghosh,Actor,Faith in a Wrapper,"Sam Ghosh (born January 27, 1984) is an Indian-American actor, director, writer, musician, and dancer"
Shakeel Badayuni,Soundtrack,Gharana,Daughter named Safia who is married to Mustafa (1968)
Akhtar-Ul-Iman,Writer,Waqt,"Akhtar-Ul-Iman was born in 1915 in Bijnor, Uttar Pradesh, India"
Pinaki Bhushan Mukherji,Director,Alo Amar Alo,
Mohit Kallianpur,Visual Effects,Treasure Planet,
R.K. Narayan,Writer,Guide,Elder brother of Late R
Sridhar Ranganath,Producer,The Secret Village,"Visionary Sridhar Ranganath is an American Filmmaker who was born in Bangalore city, India"
Tahira Wasti,Actress,Kyun Tumse Itna Pyar Hai,Tahira Wasti was a noted TV actress of Pakistan
Anjana Bhowmik,Actress,Kokhono Megh,"Anjana Bhowmik was born on December 30, 1944 in Cooch Behar, Bengal Presidency, British India as Arati Bhowmik"
Sai Gundewar,Actor,PK,Sai Gundewar is a Mumbai based Actor and a Model
Chris Beetles,Writer,Doctors and Nurses,"Chris Beetles was born on September 24, 1946 in India"
Koottickal Jayachandran,Actor,Drishyam,"Koottickal Jayachandran was born in Kottayam, Kerala, India"
Babul Supriyo,Music Department,Fanaa,"Babul Supriyo was born on December 15, 1970 in Uttarpara, West Bengal, India as Supriyo Baral"
Anubhav Sarda,Visual Effects,Raees,
Swatilekha Sengupta,Actress,Ghare-Baire,Swatilekha Sengupta was born in 1950 in India as Swatilekha Chatterjee
C.S. Rao,Writer,Kamalamma Kamatam,
Samir Chanda,Art Director,Rang De Basanti,"Samir Chanda was born on October 19, 1957 in India"
Sudhir,Actor,Baghawat,"Sudhir was born in 1922 in Lahore, Punjab, British India as Shah Zaman Khan Afridi"
Tambi Larsen,Production Designer,The Spy Who Came In from the Cold,"Tambi Larsen was born on September 11, 1914 in Bangalore, India as Johannes Larsen"
Saradindu Bandopadhyay,Writer,Detective Byomkesh Bakshy!,
Usha Mangeshkar,Music Department,Naseeb,Sister of Lata Mangeshkar and Asha Bhosle
Thangar Bachan,Director,Azhagi,"Thangar Bachan was born in 1962 in Tamil Nadu, India"
Munawar Zarif,Actor,Heer Ranjha,"He came, saw and conquered, this was Munawar Zareef"
Indraadip Dasgupta,Actor,Har Har Byomkesh,"Indraadip Dasgupta was born on January 17, 1973 in Calcutta, West Bengal, India"
Mehdi Hassan,Music Department,Allah Rakha,"Mehdi Hassan was born on July 18, 1927 in Luna, Rajasthan, British India as Mehdi Hassan Khan"
Pandi,Actor,Ghilli,"Pandi was born on April 8, 1986 in Madurai, Tamil Nadu, India"
Saroop Parinda,Actor,Subedaar,"Saroop Parinda was born in 1938 in Bathinda, Punjab, British India as Saroop Singh"
Niharikha Bhasin Khan,Costume Designer,Kai po che!,"Niharikha Bhasin Khan was born on November 21, 1969 in Jamshedpur, Jharkhand, India"
Bilahari,Director,Porattam,"Bilahari was born in Elavoor, Kerala to Remadevi and Unniraj, a famous Musician"
Tele Samad,Actor,Mona Pagla,"Tele Samad was born on January 8, 1945 in Bikrampur, Bengal Presidency, British India as Abdus Samad"
Subhash Dutta,Director,Bosundhara,"Subhash Dutta was born on February 9, 1930 in Dinajpur, Bengal, British India"
Raj Amit Kumar,Writer,Unfreedom,"Raj Amit Kumar was born on April 1, 1978 in India"
Aamir Ali Malik,Actor,Raakh: A Poem Masked in Blood,"Aamir Ali Malik was born on September 1, 1977 in Bombay, Maharashtra, India"
S. Suleman,Director,Zeenat,S
Shivam Jemini,Actor,A Summer Story,A passionate film maker and actor
Mridula Baruah,Actress,Barood,"Mridula Baruah was born in 1958 in Assam, India"
Jahar Roy,Actor,Surya Sikha,"Jahar Roy was born on September 19, 1919 in Barishal, Bengal Presidency, British India"
Inam Ahmed,Actor,Nawab Sirajuddaula,"Inam Ahmed was born on February 1, 1922 in Sylhet, East Bengal, British India"
F.C. Mehra,Producer,Elaan,Father of Umesh Mehra and Rajiv Mehra
Debshankar Haldar,Actor,Ek Je Ache Sohor,"Debshankar Haldar was born on January 8, 1965 in Calcutta, West Bengal, India"
Kunchacko,Producer,Unniyarcha,"He is the elder brother of filmmaker Navodaya Appachan, father of filmmaker Boban Kunchacko and grandfather of actor Kunchacko Boban"
Amardeep Kaleka,Editor,Sirius,"Amardeep Kaleka was born on July 12, 1978 in Patiala, Punjab, India"
Shenkar,Music Department,The Last Temptation of Christ,Shenkar is widely considered a living legend in the music world
Musarrat Nazir,Actress,Baghi,"Musarrat Nazir was born in 1937 in Lahore, Punjab, British India"
Kashinath Ghanekar,Actor,Padchhaya,Kashinath Ghanekar was a popular stage actor and dental surgeon who also appeared in Marathi films in the 1960s
Neeraj,Soundtrack,Eternal Sunshine of the Spotless Mind,"Neeraj was born on January 4, 1925 in Etawah, Uttar Pradesh, India as Gopaldas Saxena"
Dilip Mehta,Director,The Forgotten Woman,"Born in 1952 in New Delhi, India"
Aashish Mayur Shah,Editor,Sameer,"Aashish Mayur Shah was born on March 17, 1983 in Surat, Gujarat, India"
O.P. Dutta,Writer,Refugee,Father of J
N.K. Salil,Writer,Jaaneman,N
S. Sreesanth,Self,Bigg Boss,S
V. Madhusudan Rao,Director,Superman,Was awarded the prestigious Raghupathy Venkaiah award by the State Government of Andhra Pradesh for his outstanding contribution to Telugu cinema in 1997
Shudhdodhan Milind Ambhore,Visual Effects,Alita: Battle Angel,
Sid Jayakar,Visual Effects,John Wick: Chapter 3 - Parabellum,Son of Bollywood actress Smita Jaykar
S.U. Sunny,Director,Kohinoor,Son name is Saeed Akhtar Sunny
Menaka Devi,Actress,Mahakavi Kalidas,Menaka Devi was born in Varanasi in 1918
Rafiq Ghaznavi,Director,Wah Rahe Zamane,"Rafiq Ghaznavi was born in 1907 in Rawalpindi, Punjab, British India"
Asoka Rubener,Actor,Flame of Calcutta,"Asoka Rubener was born on October 26, 1910 in Bombay, India"
Raja Paranjpe,Director,Love and Murder,"Raja Paranjpe was born on April 24, 1910 in Miraj, Bombay Presidency, British India as Rajabhau Dattatraya Paranjpe"
Ishu Patel,Animation Department,Paradise,"Ishu Patel is an acclaimed Indian animation film director, producer and educator who has devoted his life to animation and photography"
Jamuna,Actress,Devdas,"Jamuna was the fourth daughter of the six daughters of Puran Gupta, a resident of a village near Agra, India"
Qazi Wajid,Actor,Bedari,"Qazi Wajid was born on May 26, 1930 in Lahore, British India"
Nabadwip Halder,Actor,Sharey Chuattar,"Nabadwip Halder was born in 1911 in Sonapalashi, Bengal Presidency, British India"
Preeti Gandwani,Actress,Aashiqui.in,"Preeti Gandwani (born 23 August 1948) is known for her character as Indu, the lead role that she plays in the show Dehleez, in the channel NDTV Imagine"
